,bed,bath,cube,home,price,area,address,latitude,longitude
387,1,1,,Apartment,220,Dublin,"Stillorgan Rd, Trimblestown, Dublin 4, Ireland",53.3084907,-6.2146417
388,3,2,85,Apartment,1883,Dublin 5,"Block 4, 5 Watermill Rd, Clontarf East, Dublin, Co. Dublin City, D05 Y177, Ireland",53.37957609999999,-6.1776274
389,2,1,,Apartment,1750,Dublin 20,"20 The Steeples, Chapelizod, Dublin, Ireland",53.3432961,-6.3388751
390,2,2,,Apartment,2573,Harold's Cross,"Harold's Cross, Dublin 6W, Co. Dublin, Ireland",53.32156879999999,-6.2853024
391,1,1,37,Apartment,1700,Dublin,"Northbrook Ave, Ranelagh, Dublin, 6, Ireland",53.3274742,-6.2539199
392,3,2,125,Penthouse,4500,Dublin 2,"Hanover Dock, Dublin Docklands, Dublin 2, Ireland",53.3447538,-6.2380521
393,4,4,325,Penthouse,7600,Dublin 4,"Ballsbridge Wood, Shelbourne Rd, Ballsbridge, Dublin 4, Ireland",53.332702,-6.2294395
394,3,2,,,2364,County Dublin,"Doddsborough, Lucan, Co. Dublin, K78 H9E5, Ireland",53.347736,-6.463826699999999
395,2,2,,Apartment,2100,Dublin 9,"Block A1, Bridgefield, Northwood Ave, Santry, Dublin 9, D09 P2YF, Ireland",53.40596069999999,-6.257687199999999
396,,,,Apartment,POA,Dublin 6,"6 Kenilworth Rd, Rathmines, Dublin 6, D06 Y068, Ireland",53.3201155,-6.2739189
397,,,,Apartment,POA,Dublin 4,"Cranford Court, Stillorgan Rd, Priesthouse, Dublin 4, Ireland",53.31036049999999,-6.2161754
398,,,,Apartment,POA,Dublin 8,"Apartment 16, Christchurch View, Nicholas St, Dublin 8, Ireland",53.342423,-6.271094199999999
399,,,,House,POA,Dublin 6,"6 Leicester Ave, Rathmines, Dublin 6, D06 W1R0, Ireland",53.31754979999999,-6.2723603
400,,,,Apartment,POA,Dublin,"1 Bachelors Walk, North City, Dublin 1, D01 P4V6, Ireland",53.3467902,-6.2631004
401,,,,Apartment,POA,Dublin 8,"8 Bow Bridge, Kilmainham, Dublin, D08 E4E3, Ireland",53.34250609999999,-6.2967536
402,3,1,85,Terraced House,2600,Dublin,"2 Sheepmoor Cl, Blakestown, Dublin, D15 VR0C, Ireland",53.3931605,-6.403212
403,2,1,,Apartment,4200,Dublin,"1 Castleforbes Square, Dublin Docklands, Dublin, Ireland",53.34929289999999,-6.2317907
404,1,1,,Apartment,3800,Dublin,"60 Sir John Rogerson's Quay, Grand Canal Dock, Dublin, D02 YN22, Ireland",53.34539909999999,-6.236101000000001
405,1,1,,Apartment,1900,Dublin,"1 Seville Pl, North Dock, Dublin, Ireland",53.3529034,-6.244477799999999
406,1,1,,Apartment,1500,Dublin,"Cherrywood Rd, Dublin, Ireland",53.24225209999999,-6.1365564
407,1,1,,Apartment,1191,Dublin,"9 Whitworth Rd, Wigan Rd, Botanic, Dublin 9, D09 X5T9, Ireland",53.3644486,-6.2668729
408,2,2,,Apartment,1975,Dublin 11,"43 Fitzwilliam Square W, Dublin 2, D02 K792, Ireland",53.33579169999999,-6.2533531
409,3,1,,Bungalow,2200,Dublin 24,"Castlekelly, Dublin 24, Ireland",53.22001299999999,-6.340955999999999
410,2,2,100,Apartment,3300,Dublin 6,"Milltown Ave, Ranelagh, Dublin, Ireland",53.3139461,-6.2494032
411,5,5,2300ft 2,Detached,7000,Dublin 4,"126 Merrion Rd, Dublin, D04 E2P5, Ireland",53.3236727,-6.2193605
412,1,1,,Apartment,1500,Dublin,"Temple Court, Hogan Pl, Dublin 2, Ireland",53.3407011,-6.2437463
413,1,1,,Apartment,1568,Dublin 9,"Apartment 12, Saint Mobhi Court, St Mobhi Boithirin, Botanic, Dublin 9, D09 HE28, Ireland",53.3771624,-6.266604999999999
414,3,,,Bungalow,2665,Dublin 4,"4 Shrewsbury, Dublin, D04 F2W5, Ireland",53.32535679999999,-6.2201361
415,3,2,,Semi-Detached,2150,Dublin,"55 The Green, Beaumont Woods, Beaumont, Dublin, D09 PK85, Ireland",53.3901568,-6.233245399999999
416,1,1,,Apartment,630,Dublin 1,"Clarion Quay, N Wall Quay, North Wall, Dublin 1, Ireland",53.3490556,-6.2447174
417,2,3,1710ft 2,Apartment,6000,Dublin 4,"Ballsbridge, Dublin, Ireland",53.3265731,-6.225861099999999
418,1,1,,Apartment,1469,Dublin,"Sandwith Street Lower & Westland Square, Dublin, Ireland",53.34440799999999,-6.246901299999999
419,,1,63,Apartment,2500,Dublin,"4 Shrewsbury, Ballsbridge, Dublin 4, D04 F2W5, Ireland",53.32537060000001,-6.2201603
